site,url,recommend,title,comment,shoppingmall,price,deliveryfee,category,time,author,views
arca,https://arca.live/b/hotdeal/109015820?p=5,3,닭다리살 순살 로스트 치킨 300gx3팩 총900g + 볶음밥200g,11,위메프,"12,000원",무료,먹거리,2024-06-17 01:06,MK아웃,1676
arca,https://arca.live/b/hotdeal/109015706?p=6,1,"낫소 슬리퍼,샌들,쪼리 1+1",5,옥션,"4,430원",무료,의류,2024-06-17 01:04,항뉴다,2078
arca,https://arca.live/b/hotdeal/109015528?p=6,1,경북 털복숭아 2kg,9,위메프,"12,330원",무료,먹거리,2024-06-17 01:00,ㅇㅇ,854
arca,https://arca.live/b/hotdeal/109015471?p=6,1,카멜마운트 고중량모니터암 PMA2X,14,컴퓨존,"79,000원",무료,PC제품,2024-06-17 00:58,역류성식도염,2867
arca,https://arca.live/b/hotdeal/109015388?p=6,0,"구디푸디 3M 강력접착 다용도 스테인레스 후크 J형, 8개",8,쿠팡,900원,무료,생활용품,2024-06-17 00:56,미모리,1425
arca,https://arca.live/b/hotdeal/109015373?p=6,8,미지아 정밀 드라이버,40,알리익스프레스,$3.06,무료,PC제품,2024-06-17 00:56,ㅇㅇ,4869
arca,https://arca.live/b/hotdeal/109015362?p=6,2,"연세우유 뼈를 생각한 고칼슘 두유 호두 & 아몬드, 180ml, 24개",3,쿠팡와우,"7,190원",무료,먹거리,2024-06-17 00:56,별님미리내,663
arca,https://arca.live/b/hotdeal/109014813?p=6,1,장충상회 장충동 순대2종외 여러가지 1+1 카카오,5,티몬,"8,712원",무료,먹거리,2024-06-17 00:42,ㅇㅇ,940
arca,https://arca.live/b/hotdeal/109014746?p=6,36,컴퓨터 튜닝용 스티커(씹덕),47,알리,"11,250원",무료,생활용품,2024-06-17 00:41,빵에는감동이있다,10135
arca,https://arca.live/b/hotdeal/109014111?p=6,0,성주 참외 5kg 가정용 혼합과,2,위메프,"9,900원",무료,먹거리,2024-06-17 00:22,ㅇㅇ,495
arca,https://arca.live/b/hotdeal/109013969?p=6,2,밀크바오밥 헤어 오일미스트 120ml,3,쿠팡,"3,450원",무료,화장품,2024-06-17 00:18,ㅇㅇ,1287
arca,https://arca.live/b/hotdeal/109013945?p=6,2,덴로쿠 스낵믹스 294g,5,쿠팡,"6,150원",무료,먹거리,2024-06-17 00:17,ㅇㅇ,1788
arca,https://arca.live/b/hotdeal/109013913?p=6,1,퍼실 라벤더젤 플러스 드럼용 리필 1.5L,3,쿠팡,"4,480원",무료,생활용품,2024-06-17 00:16,ㅇㅇ,1149
arca,https://arca.live/b/hotdeal/109013905?p=6,1,베트남 아카시아 골드망고 4kg,6,위메프,"21,970원",무료,먹거리,2024-06-17 00:16,ㅇㅇ,737
arca,https://arca.live/b/hotdeal/109013534?p=6,3,BBQ 자메이카 통다리 바베큐 170gx10팩,13,위메프,"23,650원",무료,먹거리,2024-06-17 00:05,ㅇㅇ,1419
arca,https://arca.live/b/hotdeal/109013514?p=6,5,마운틴듀 제로슈거 블루 355ml x 24캔,18,알리익스프레스,"9,999원",무료,먹거리,2024-06-17 00:04,ㅇㅇ,1755
arca,https://arca.live/b/hotdeal/109013411?p=6,2,밀크 클래식 쌀과자 240g x 5봉,17,위메프,"13,260원",무료,먹거리,2024-06-17 00:01,ㅇㅇ,1716
arca,https://arca.live/b/hotdeal/109013351?p=6,1,오리온 고래송이 미니믹스 과자세트,6,쿠팡,"6,910원",무료,먹거리,2024-06-17 00:00,ㅇㅇ,789
arca,https://arca.live/b/hotdeal/109013335?p=6,8,스파클 2L 30병 / 500ml 100병,12,티몬,"9,855원",무료,먹거리,2024-06-16 23:59,ㅇㅇ,1270
arca,https://arca.live/b/hotdeal/109013269?p=6,1,경북 노지자두 소과 2kg,2,위메프,"11,470원",무료,먹거리,2024-06-16 23:58,ㅇㅇ,475
arca,https://arca.live/b/hotdeal/109013149?p=6,3,펩시 제로 라임 제로카페인 355ml x 48캔 (국민/삼성),0,티몬,"28,780원",무료,먹거리,2024-06-16 23:53,ㅇㅇ,1257
arca,https://arca.live/b/hotdeal/109013133?p=6,1,웨스트우드 냉감티/반팔/반바지/긴바지,4,지마켓,"9,000원",무료,의류,2024-06-16 23:53,ㅇㅇ,1511
arca,https://arca.live/b/hotdeal/109012934?p=6,0,맥심 카누 마일드미니 100T+20T x 2개,2,알리익스프레스,"31,507원",무료,먹거리,2024-06-16 23:47,dugii,568
arca,https://arca.live/b/hotdeal/109012928?p=6,2,맥콜 제로 250ml x 30개,2,쿠팡,"11,960원",무료,먹거리,2024-06-16 23:46,ㅇㅇ,514
arca,https://arca.live/b/hotdeal/109009701?p=6,3,화이트콤부차 제로 245ml CAN 30입,17,티몬,"6,810원",무료,먹거리,2024-06-16 21:21,메이좋냐,1527
arca,https://arca.live/b/hotdeal/109009255?p=6,2,WINIX 위닉스 인버터 제습기 19L (DXJE193-LMK),29,알리익스프레스,"327,941원",무료,가전제품,2024-06-16 20:44,dugii,2844
arca,https://arca.live/b/hotdeal/109009035?p=6,17,필립스 에브니아 QHD 170 프리싱크 HDR 400 게이밍 무결점 27인치 FAST IPS 모니터,95,알리익스프레스,"234,166원",무료,가전제품,2024-06-16 20:26,키아나,7741
arca,https://arca.live/b/hotdeal/109009007?p=6,1,스마텍 360도회전 태블릿 마그네틱거치대(아이패드프로12.9인치),14,알리익스프레스,"16,199원",무료,생활용품,2024-06-16 20:23,dugii,2928
arca,https://arca.live/b/hotdeal/109008687?p=6,2,삼성 블루스카이 5500 공기청정기 AXO60CG500GBD 60m²,4,알리익스프레스,"188,462원",무료,가전제품,2024-06-16 19:58,dugii,2452
arca,https://arca.live/b/hotdeal/109008406?p=6,4,보르도 올스텐 에어프라이어25L,24,알리익스프레스,"74,936원",무료,가전제품,2024-06-16 19:37,dugii,2789
arca,https://arca.live/b/hotdeal/109008335?p=6,21,KZ X Angelears Libra 초광각 주파수 다이내믹 HiFi 인이어 이어폰,72,알리,130원,무료,가전제품,2024-06-16 19:33,냥코,7636
arca,https://arca.live/b/hotdeal/109008158?p=6,1,김포 고시히카리 쌀 20kg,10,알리익스프레스,"46,593원",무료,먹거리,2024-06-16 19:20,dugii,1342
arca,https://arca.live/b/hotdeal/109008048?p=6,4,엘가토 스트림덱 플러스 블랙 & 화이트 국내정품,35,알리익스프레스,"209,666원",무료,PC제품,2024-06-16 19:14,KaNi,3394
arca,https://arca.live/b/hotdeal/109008013?p=6,4,HP OMEN 27 Gaming IPS FHD 165Hz 27인치 게이밍 모니터,31,알리익스프레스,"166,504원",무료,가전제품,2024-06-16 19:12,키아나,3635
arca,https://arca.live/b/hotdeal/109007954?p=6,6,HP OMEN 27Q Gaming IPS QHD 165Hz 27인치 게이밍 모니터,25,알리익스프레스,"224,574원",무료,가전제품,2024-06-16 19:09,키아나,3572
arca,https://arca.live/b/hotdeal/109007783?p=6,5,오스트리아산 프리미엄 삼겹살 6kg,24,알리,"42,331원",무료,먹거리,2024-06-16 19:00,dugii,2194
arca,https://arca.live/b/hotdeal/109006808?p=6,32,갤럭시 버즈2 프로,69,알리익스프레스,"103,673원",무료,가전제품,2024-06-16 18:16,발가락보면흥분함,7798
arca,https://arca.live/b/hotdeal/109005991?p=6,1,맥널티 복숭아 아이스티 제로 1.5L 12개입 (3명 공구),16,알리익스프레스,"13,401원",무료,먹거리,2024-06-16 17:47,발가락보면흥분함,1964
arca,https://arca.live/b/hotdeal/109005578?p=6,6,PS5 플레이스테이션5 슬림 디스크 스탠다드 에디션,7,알리익스프레스,"509,804원",무료,가전제품,2024-06-16 17:34,ㅇㅇ,2491
arca,https://arca.live/b/hotdeal/109005479?p=6,18,갤럭시탭 S7 FE 64GB WIFI,38,알리익스프레스,"291,549원",무료,가전제품,2024-06-16 17:31,ㅇㅇ,5868
arca,https://arca.live/b/hotdeal/109005413?p=6,2,"마가렛트 오리지널, 660g, 3개",14,쿠팡,"17,810원",무료,먹거리,2024-06-16 17:30,KKK,1128
