site,url,recommend,title,comment,shoppingmall,price,deliveryfee,category,time,author
fm,https://www.fmkorea.com/7141276157,4,신세계 밀크앤허니 롤케익 외 모음,18,티몬,"13,974원",무료,먹거리,2024-06-14 00:00,우니짱
fm,https://www.fmkorea.com/7141261655,7,컨셉원 슬랙스 3종 균일가,31,롯데온,"17,550원",무료,의류,2024-06-14 00:00,Impopy
fm,https://www.fmkorea.com/7141207031,10,썬키스트 제로 190ml 60캔 골라담기 (복숭아레몬+자두자몽소다),33,롯데온,"18,880원",무료,먹거리,2024-06-14 00:00,베지타
fm,https://www.fmkorea.com/7141187711,8,더빠삭 오리지널 순살치킨 1kg x3개,12,떠리몰,"22,202원",무료,먹거리,2024-06-14 00:00,모여봐요동물의숲
fm,https://www.fmkorea.com/7141190282,12,냉장 닭다리살(정육) 순살 1kg*2팩 (농협카드할인가),34,11번가,"15,880원",무료,먹거리,2024-06-14 00:00,명수는못말려
fm,https://www.fmkorea.com/7141189817,-8,매직쉐프 스타일리쉬 음식물처리기 3L MFW-V3000W,21,공영쇼핑,"269,100원",무료,가전제품,2024-06-14 00:00,모코모코코
fm,https://www.fmkorea.com/7141156177,2,프랭클린 아기 물티슈 캡형 70매 4팩 평량 75,9,네이버,"3,000원",무배,생활용품,2024-06-14 00:00,본인이야
fm,https://www.fmkorea.com/7141136272,16,목우촌 프라임 한입돈까스 500g 4봉 토스페이,30,티몬,"21,793원",무료,먹거리,2024-06-14 00:00,잉토진짜접음
fm,https://www.fmkorea.com/7141075471,3,스타벅스 네스프레소 10개입(추가할인있음),28,네이버,"5,490원",무료,먹거리,2024-06-14 00:00,리리카
fm,https://www.fmkorea.com/7141125821,112,네이버페이 편의점 2000원 이상 결제 시 500원 적립,147,편의점,0원,0원,세일정보,2024-06-14 00:00,Xera
fm,https://www.fmkorea.com/7141125657,13,목우촌 프라임 통등심 돈까스 500g 3봉다리,14,티몬,"21,793원",무료,먹거리,2024-06-14 00:00,연진1
