recommend,title,comment,shoppingmall,price,deliveryfee,category,time,author
15,쏜리서치 베이직 뉴트리언트 투퍼데이 60캡슐 6병 외 카카오페이,42,티몬,"114,057원",무료,먹거리,2024.06.08,아부부
74,삼양 불닭볶음면 간짬뽕 삼양라면 20개,96,네이버,"9,500원",무료,먹거리,2024.06.08,식후유산소
6,허니체 딥 모이스트 리페어 헤어마스크 팩 200g 3개,15,쿠팡,"28,900원",무료,화장품,2024.06.08,아오배고픈데
14,폴햄 셔츠 외 다양,43,티몬,"1,450원","9,900원이상무료",의류,2024.06.08,본인:
46,페브리즈 섬유탈취제 370ml 3개,63,롯데온,"8,450원",무배,생활용품,2024.06.08,도라에멍
5,동원 덴마크 테이크 얼라이브 120ml * 48개 [토스페이계좌/카카오페이],10,티몬,"9,999원",무료,먹거리,2024.06.08,목성
13,헤드앤숄더 3개 초록 보라 하늘 포인트사용시 역대가,80,위메프플러스,"체감가29,150",무료,화장품,2024.06.08,아오배고픈데
16,이마트/트레이더스 5만원권 잔액관리형 8% OFF,26,티몬,"46,080원",무료,모바일/상품권,2024.06.08,목성
1,2080 프로나인 치약130g X 5개 + 칫솔 4개 + 엘포인트 1000p,4,롯데온,"8,420원",0원,생활용품,2024.06.08,히트만
8,미림통통 신림동 양념/백순대 볶음 2인분 [토스페이계좌/카카오페이],11,티몬,"9,810원",무료,먹거리,2024.06.08,목성
3,스팸 25% 라이트 340g 20개 웨건기준 역대급딜,24,위메프플러스,"체감가54,890",무료,먹거리,2024.06.08,아오배고픈데
-5,국내산 전라도 파김치 1kg 농협카드,21,11번가,"7,860원",무료,먹거리,2024.06.08,식후유산소
12,구운란 대란 60구 [토스페이계좌/카카오페이],20,티몬,"11,511원",무료,먹거리,2024.06.08,목성
7,갈아만든배 저칼로리 340ml 24개 외 갈배시리즈,7,롯데온,"12,930원",무료,먹거리,2024.06.08,하와이앙
2,팔도 비락 식혜 제로 238mlx24캔,10,위메프,"10,580원",무료,먹거리,2024.06.08,목성
7,페브리즈 화장실 비치형 방향제 6개+유연제200ml,10,오늘의집,"17,932원",무료,기타,2024.06.08,연진1
13,히말라야 립밤  x 10개,22,위메프,"6,990원",무료,생활용품,2024.06.08,Impopy
7,플루크 위캔드 반팔티셔츠 FST184C 네이비 XXL,29,쿠팡,"5,460원",와우무료,의류,2024.06.07,앙냥
-9,"폴바셋 시그니쳐 원두 1kg 23,274(최종)",48,티몬,"23,274원",무료,먹거리,2024.06.07,헤지펀드
72,경기투어패스 오픈특가 24시간권,93,티몬,"16,900원",무료,패키지/이용권,2024.06.07,캐퍼플
3,큐니걸스 여성용 삐삐 미니반팔티셔츠,15,쿠팡와우,"1,770원",와우무료,의류,2024.06.07,앙냥
19,GAP 반팔 2장,53,무신사,"6,900원",무료,의류,2024.06.07,건담은말은안건담
23,Stylized Terrain Textures,20,에셋스토어,0원,무료,SW/게임,2024.06.07,건담은말은안건담
15,엘든링 황금 나무의 그림자 (6/21 코드 발송),38,코드피아,"44,800원",무료,SW/게임,2024.06.07,건담은말은안건담
6,나이키 페가수스 41 런닝화 FD2722-103,111,인터파크,"107,130원","3,300원",의류,2024.06.07,건담은말은안건담
6,크리넥스 3겹 데코앤소프트 와이드 26m24롤 2팩,8,티몬,"토스24,750",무배,생활용품,2024.06.07,골램잡기
16,"맨유,아스날,뮌헨 유니폼",56,샵프리미엄아울렛,36달러~60달러,미국무료배대지이용,의류,2024.06.07,강투지
20,22-23 AT마드리드 홈 노마킹 노스폰서 유니폼,53,오버더피치,"32,700원","3,500원",의류,2024.06.07,안필드직관러
49,임박 밀카 슈프림 30g x 30개 (개당 230원) / 초코무 200g x 3 외,147,롯데온,"6,900원",무료,먹거리,2024.06.07,인간사료
36,천연사이다 제로 1.5L 12개,56,쿠팡,"13,900원",무료,먹거리,2024.06.07,에이발
92,광선검,180,알리 천원마트,"1,800원",무료,기타,2024.06.07,죽업
6,지데빌 G917 스커드 가스켓마운트 기계식 게이밍키보드,9,알리,"26,778원",무료,PC제품,2024.06.07,흑단
9,솔티드 로스트 캐슈넛 500g x 2개,10,인터파크,"15,080원~",무료,먹거리,2024.06.07,본인:
53,"차이파이 이어폰2종 파격할인 / Wyvern Abyss, CVJ BIDONG",163,알리,$22,무료배송,PC제품,2024.06.07,대웅묘
9,"롯데제과 칸쵸 과자, 54g, 8개",28,쿠팡,"4,830원",무료,먹거리,2024.06.07,모구링
34,엘든 링 황금나무의 그림자 PC 버전 (21일 코드발송),86,네이버,"44,800원",무료,SW/게임,2024.06.07,롤리뿌웅
15,득근파티 스팀닭가슴살 36팩 카카오/토스,54,티몬,"32,310원",무료,먹거리,2024.06.07,본인:
83,요기요 3만원 상품권 2장 9%할인 (준역대가),191,티몬,"54,698원",0원,모바일/상품권,2024.06.07,임포스터
11,(Q포인트 사용시 역대가)마니커에프앤지 버팔로봉 1kg 2봉,34,위메프플러스,"체감가10,490",무료,먹거리,2024.06.07,발라리안_맥스_
27,요기요 3만원권 8%,52,티몬,"27,630원",무료,모바일/상품권,2024.06.07,나그파
19,"[CJ] 햇반 현미쌀밥,매일잡곡밥,흑미밥,찰잡곡210G x 48개",34,티몬,"38,412원",무료,먹거리,2024.06.07,모구링
-2,Q포인트 결제시 역대가 진라면 매운맛 20입,17,위메프 플러스,"체감5,900원",무료,먹거리,2024.06.07,발라리안_맥스_
9,노스바유 NB G45 고중량 싱글 모니터암 22-40'' 거치대 15kg 블랙,52,알리,"35,035원",무배,PC제품,2024.06.07,웨스트룬드2
-25,벨킨 맥세이프 보조배터리,38,쿠팡,"49,900원",와우무료,생활용품,2024.06.07,7ukrik
-4,현대디지텍코어 LOGICA F24i75 무결점 모니터 24인치,50,알리,"68,623원",무료,PC제품,2024.06.07,Invalid
-2,오쏘몰 이뮨 드링크 정제 30일분 2박스 총 60일분 독일직배송,42,위메프,"121,000원",무료,먹거리,2024.06.07,오리온둥이
2,퍼실 세탁세제 듀얼 2.7L용기 + 1.8L리필,8,위메프,"16,470원",무료,생활용품,2024.06.07,우니짱
8,성주 참외 6kg (실중량),12,위메프,"13,000원",무료,먹거리,2024.06.07,나그파
-6,사자표 짜장소스 3개+볶음짬뽕소스 3개,18,11번가,"16,100원",무료,먹거리,2024.06.07,제발그만해줘
9,2024 인천펜타포트 락 페스티벌 티겟(양일권),55,kbpay,"145,350원",무료,패키지/이용권,2024.06.07,마카오펨
-13,"한만두 물방울만두, 왕교자, 갈비만두 등 420g 6봉 (유통기한 내용확인)",22,네이버,"19,500원",0원,먹거리,2024.06.07,히트만
2,크리넥스 마이비데 46매 12팩,32,옥션,"15,520원",무료,생활용품,2024.06.07,여기누구없소
109,스팀 주간할인 게임들,154,스팀,게임별상이,무료,SW/게임,2024.06.07,radiohead
7,G PRO X SUPERLIGHT 2,67,티몬,"152,235원",무료,PC제품,2024.06.07,dante011
20,롯데 막대기아이스크림 12종 40개 카카오페이 추가할인,37,11번가,"19,500원",무,먹거리,2024.06.07,암란폭망햇두
11,"묘조 소문난 가게 미역 쇼유라멘 65g, 10개",22,쿠팡직구,"12,830원",와우무료,먹거리,2024.06.07,앙냥
12,"독거미 F99 황축 PC정위판, 블루축 FR4보강판 2종 외",72,티몬,"토스42,515",무료,PC제품,2024.06.07,foldings
